Address,Date
黄浦区,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02', '2022-04-01', '2022-03-30', '2022-03-29', '2022-03-27', '2022-03-26', '2022-03-24', '2022-03-23', '2022-03-22']"
黄浦区白渡路288弄,['2022-04-05']
黄浦区保屯路135号,['2022-04-05']
黄浦区保屯路50弄,"['2022-04-05', '2022-04-03']"
黄浦区北京东路121号,['2022-04-05']
黄浦区北京东路123号,"['2022-04-05', '2022-04-03']"
黄浦区北京东路135号,['2022-04-05']
黄浦区北京东路288弄,['2022-04-05']
黄浦区北京东路355号,['2022-04-05']
黄浦区北京东路360弄,"['2022-04-05', '2022-04-04', '2022-03-30']"
黄浦区北京东路431弄,"['2022-04-05', '2022-04-04']"
黄浦区北京西路218弄,"['2022-04-05', '2022-04-04']"
黄浦区曹家街25号,"['2022-04-05', '2022-04-02']"
黄浦区曹家街30号,"['2022-04-05', '2022-04-01']"
黄浦区曹家街33号,"['2022-04-05', '2022-04-02']"
黄浦区曹家街40弄,"['2022-04-05', '2022-03-29']"
黄浦区曹家街44号,['2022-04-05']
黄浦区曹家街48弄,"['2022-04-05', '2022-04-01']"
黄浦区曹家街55弄,"['2022-04-05', '2022-04-02', '2022-04-01']"
黄浦区曹家街61号,['2022-04-05']
黄浦区曹家街62号,"['2022-04-05', '2022-04-01']"
黄浦区曹市弄15弄,"['2022-04-05', '2022-03-27']"
黄浦区曹市弄23弄,"['2022-04-05', '2022-04-02']"
黄浦区曹市弄33弄,"['2022-04-05', '2022-03-30']"
黄浦区曹市弄39弄,['2022-04-05']
黄浦区成都北路152弄,['2022-04-05']
黄浦区成都北路162弄,"['2022-04-05', '2022-04-04']"
黄浦区成都北路262弄,"['2022-04-05', '2022-04-04']"
黄浦区成都南路132弄,"['2022-04-05', '2022-04-04']"
黄浦区成都南路142弄,['2022-04-05']
黄浦区打浦路15号,['2022-04-05']
黄浦区打浦路303弄,['2022-04-05']
黄浦区打浦路316弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-03', '2022-04-01', '2022-03-30', '2022-03-29']"
黄浦区打浦路339弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-01', '2022-03-30', '2022-03-29', '2022-03-27']"
黄浦区打浦路398弄,"['2022-04-05', '2022-04-04']"
黄浦区打浦路399号,"['2022-04-05', '2022-04-03', '2022-03-30']"
黄浦区打浦路480弄,['2022-04-05']
黄浦区打浦路500弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-01', '2022-03-27']"
黄浦区大夫坊36号,['2022-04-05']
黄浦区大夫坊74弄,"['2022-04-05', '2022-03-30']"
黄浦区大沽路141号,['2022-04-05']
黄浦区大沽路147号,['2022-04-05']
黄浦区大沽路155号,['2022-04-05']
黄浦区大沽路165号,['2022-04-05']
黄浦区大沽路191号,"['2022-04-05', '2022-04-04']"
黄浦区大吉路173弄,"['2022-04-05', '2022-03-26']"
黄浦区大吉路270号,"['2022-04-05', '2022-04-04']"
黄浦区大吉路310弄,['2022-04-05']
黄浦区大吉路36弄,['2022-04-05']
黄浦区大境路250号,['2022-04-05']
黄浦区大境路50号,"['2022-04-05', '2022-03-29']"
黄浦区大林路190号,"['2022-04-05', '2022-04-04']"
黄浦区大林路256号,"['2022-04-05', '2022-04-04']"
黄浦区大林路5弄,"['2022-04-05', '2022-04-03']"
黄浦区大林路78号,"['2022-04-05', '2022-04-03', '2022-04-02']"
黄浦区淡水路214弄,"['2022-04-05', '2022-04-04']"
黄浦区淡水路218号,['2022-04-05']
黄浦区淡水路89弄,"['2022-04-05', '2022-04-03', '2022-04-02', '2022-04-01']"
黄浦区淡水路91弄,"['2022-04-05', '2022-03-22']"
黄浦区滇池路116号,['2022-04-05']
黄浦区滇池路116弄,['2022-04-05']
黄浦区东江阴街184号,['2022-04-05']
黄浦区东江阴街194号,"['2022-04-05', '2022-04-04']"
黄浦区东江阴街220号,['2022-04-05']
黄浦区东街159号,['2022-04-05']
黄浦区东街167弄,['2022-04-05']
黄浦区东街50号,"['2022-04-05', '2022-04-03']"
黄浦区东台路277号,['2022-04-05']
黄浦区方浜西路59号,"['2022-04-05', '2022-04-01']"
黄浦区方浜西路63弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-01', '2022-03-27']"
黄浦区方斜路548弄,['2022-04-05']
黄浦区方斜支路11号,['2022-04-05']
黄浦区凤阳路200弄,['2022-04-05']
黄浦区凤阳路358弄,"['2022-04-05', '2022-04-04', '2022-03-30']"
黄浦区福建南路33号,['2022-04-05']
黄浦区福建中路225号,['2022-04-05']
黄浦区福州路17号,['2022-04-05']
黄浦区福州路384弄,['2022-04-05']
黄浦区复兴东路1055弄,['2022-04-05']
黄浦区复兴东路248号,['2022-04-05']
黄浦区复兴东路663弄,"['2022-04-05', '2022-04-03', '2022-04-01', '2022-03-29', '2022-03-27']"
黄浦区复兴东路671号,['2022-04-05']
黄浦区复兴东路701弄,['2022-04-05']
黄浦区复兴东路917号,['2022-04-05']
黄浦区复兴东路983弄,['2022-04-05']
黄浦区复兴中路471号,['2022-04-05']
黄浦区复兴中路553弄,"['2022-04-05', '2022-04-04']"
黄浦区复兴中路565弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-30', '2022-03-29']"
黄浦区傅家街39弄,['2022-04-05']
黄浦区高家弄37弄,"['2022-04-05', '2022-04-01', '2022-03-30']"
黄浦区高家弄54弄,"['2022-04-05', '2022-04-02', '2022-04-01']"
黄浦区高家弄55号,['2022-04-05']
黄浦区高家弄60号,['2022-04-05']
黄浦区高家弄66弄,"['2022-04-05', '2022-04-02', '2022-04-01']"
黄浦区高家弄74号,['2022-04-05']
黄浦区光启路129号,"['2022-04-05', '2022-04-03']"
黄浦区光启路215号,['2022-04-05']
黄浦区光启路99号,['2022-04-05']
黄浦区光启南路73号,['2022-04-05']
黄浦区广东路138号,['2022-04-05']
黄浦区广东路152号,"['2022-04-05', '2022-04-03']"
黄浦区广东路154号,['2022-04-05']
黄浦区广东路240号,['2022-04-05']
黄浦区广东路339号,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区广东路429号,['2022-04-05']
黄浦区广东路652号,['2022-04-05']
黄浦区广东路654号,['2022-04-05']
黄浦区广西北路118弄,"['2022-04-05', '2022-04-04']"
黄浦区广西北路228弄,"['2022-04-05', '2022-04-03']"
黄浦区广西南路23号,"['2022-04-05', '2022-04-04']"
黄浦区贵州路77弄,['2022-04-05']
