Address,Coordinates(BD_GCJ)
上海市黄浦区,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区白渡路288弄,"[(31.225314787113074, 121.50611478584275), (31.21967499318848, 121.49950472905462)]"
上海市黄浦区保屯路135号,"[(31.21049189214154, 121.49712804769038), (31.20481219549796, 121.49054096638288)]"
上海市黄浦区保屯路50弄,"[(31.211889115666636, 121.4963149913733), (31.20620146518004, 121.4897284939682)]"
上海市黄浦区北京东路121号,"[(31.246387341994296, 121.49445298371222), (31.240677408843943, 121.48786072228559)]"
上海市黄浦区北京东路123号,"[(31.24635693200724, 121.49426631582723), (31.240644879365647, 121.48767458239439)]"
上海市黄浦区北京东路135号,"[(31.246382942580535, 121.49399520722433), (31.240667771481938, 121.48740429000847)]"
上海市黄浦区北京东路288弄,"[(31.24648026991378, 121.49064632428312), (31.24072195422291, 121.48406655447953)]"
上海市黄浦区北京东路355号,"[(31.24603685471616, 121.48987297306958), (31.240267388706673, 121.48329582582375)]"
上海市黄浦区北京东路360弄,"[(31.246565093573604, 121.48931153212585), (31.24078740402021, 121.48273679170048)]"
上海市黄浦区北京东路431弄,"[(31.24544624864965, 121.48868846742414), (31.239658979906388, 121.48211558700737)]"
上海市黄浦区北京西路218弄,"[(31.242234743581015, 121.47608200721932), (31.236222050813875, 121.46956571114161)]"
上海市黄浦区曹家街25号,"[(31.224977808138988, 121.49269733542351), (31.21924698725384, 121.48611085734855)]"
上海市黄浦区曹家街30号,"[(31.224756397238433, 121.49265008455369), (31.219025010811844, 121.48606388405688)]"
上海市黄浦区曹家街33号,"[(31.224819392861786, 121.49276919986431), (31.219089499953856, 121.486182577767)]"
上海市黄浦区曹家街40弄,"[(31.22466514615, 121.49258980825398), (31.218933008567035, 121.48600385593843)]"
上海市黄浦区曹家街44号,"[(31.22465302565186, 121.49275734223157), (31.218923007775654, 121.4861708526602)]"
上海市黄浦区曹家街48弄,"[(31.224468361562568, 121.49272518289433), (31.218737965921108, 121.48613890336294)]"
上海市黄浦区曹家街55弄,"[(31.23925206985007, 121.49203582324597), (31.233511999399287, 121.48544864475674)]"
上海市黄浦区曹家街61号,"[(31.224374022158923, 121.49311217290801), (31.218648461352004, 121.4865247095164)]"
上海市黄浦区曹家街62号,"[(31.224360898011767, 121.49293996774175), (31.21863320796941, 121.48635305955175)]"
上海市黄浦区曹市弄15弄,"[(31.227368364019917, 121.49120255505491), (31.221617548837088, 121.48461993808604)]"
上海市黄浦区曹市弄23弄,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区曹市弄33弄,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区曹市弄39弄,"[(31.23724715206362, 121.49158559252436), (31.23150104404978, 121.48499971565866)]"
上海市黄浦区成都北路152弄,"[(31.233187474913564, 121.47505901690454), (31.22715508090943, 121.46854691794769)]"
上海市黄浦区成都北路162弄,"[(31.23265367972225, 121.47441277592067), (31.226609031046376, 121.46790391993136)]"
上海市黄浦区成都北路262弄,"[(31.23499100854444, 121.47445122339649), (31.22894701950196, 121.46794191122206)]"
上海市黄浦区成都南路132弄,"[(31.227598106146772, 121.4741907147986), (31.221549647225334, 121.46768448658256)]"
上海市黄浦区成都南路142弄,"[(31.22713669136452, 121.47438789285805), (31.221092021967536, 121.46788090832612)]"
上海市黄浦区打浦路15号,"[(31.21015918370958, 121.47803375560083), (31.204187342270416, 121.47152206065877)]"
上海市黄浦区打浦路303弄,"[(31.205904673705177, 121.47819518110099), (31.19993700137567, 121.47168698082616)]"
